Estado,Cidade,Especialidade,Valor,Agendamentos
CEARÁ,JUAZEIRO DO NORTE,PNEUMO,470,12
CEARÁ,JUAZEIRO DO NORTE,PNEUMO Ped,490,222
CEARÁ,JUAZEIRO DO NORTE,ENDOCRINO PED,472,160
CEARÁ,JUAZEIRO DO NORTE,ENDOCRINO,430,114
CEARÁ,JUAZEIRO DO NORTE,NEURO PED,640,195
CEARÁ,JUAZEIRO DO NORTE,GASTRO PED,470,18
CEARÁ,JUAZEIRO DO NORTE,REUMATO,350,6
CEARÁ,JUAZEIRO DO NORTE,GERIATRIA,420,23
CEARÁ,JUAZEIRO DO NORTE,Alergologista,540,
CEARÁ,JUAZEIRO DO NORTE,Nutrólogo Pediátrico,540,
CEARÁ,JUAZEIRO DO NORTE,Proctologista,480,
CEARÁ,JUAZEIRO DO NORTE,Infectologista,450,
CEARÁ,IGUATU,OTORRINO,400,52
CEARÁ,IGUATU,PSIQUIATRA PED,585,80
CEARÁ,IGUATU,ALERGOLOGISTA,540,28
CEARÁ,IGUATU,NUTROLOGO,490,15
CEARÁ,IGUATU,OFTALMO PED,550,18
CEARÁ,IGUATU,NEURO PED,650,130
CEARÁ,IGUATU,Endocrinologista,730,
CEARÁ,IGUATU,DERMATO,420,21
CEARÁ,ICÓ,PEDIATRA,400,24
CEARÁ,ICÓ,DERMATO,410,12
CEARÁ,MAURITI,DERMATOLOGIA,400,1
CEARÁ,MAURITI,ENDOCRINOLOGIA,400,1
CEARÁ,MAURITI,GERIATRIA,400,1
CEARÁ,MAURITI,PNEUMOLOGISTA,450,1
CEARÁ,SOBRAL,NEUROLOGISTA,595,48
CEARÁ,SOBRAL,ENDOCRINO PED,540,62
CEARÁ,SOBRAL,REUMATO,540,45
CEARÁ,SOBRAL,ALERGOLOGISTA,545,31
CEARÁ,SOBRAL,ENDOCRINO,540,340
CEARÁ,SOBRAL,GASTRO,400,12
CEARÁ,SOBRAL,GINECOLOGISTA,436,26
CEARÁ,SOBRAL,Dermatologista,430,
CEARÁ,SOBRAL,Neurologista Pediátrico,750,
CEARÁ,SOBRAL,Otorrinolaringologista,540,
CEARÁ,SOBRAL,Pneumologista,650,
CEARÁ,SOBRAL,Psiquiatra,580,
CEARÁ,SOBRAL,Infectologista,650,
CEARÁ,SOBRAL,Nutrologo,670,
CEARÁ,SOBRAL,Gatropediatra,850,
CEARÁ,SOBRAL,Proctologista,500,
CEARÁ,SOBRAL,Pneumologista Pediátrico,650,
CEARÁ,TIANGUÁ,PSIQUIATRA,460,95
CEARÁ,TIANGUÁ,ENDOCRINO,540,104
CEARÁ,TIANGUÁ,OTORRINO,520,58
CEARÁ,TIANGUÁ,NEURO PED,640,146
CEARÁ,TIANGUÁ,Proctologista,480,
CEARÁ,NOVA RUSSAS,Otorrinolaringologista,540,
CEARÁ,RUSSAS,Dermatologista,480,
CEARÁ,CRATEÚ,Otorrinolaringologista,480,
CEARÁ,ACARAU,NEUROPED,650,
RIO GRANDE DO NORTE,MOSSORÓ,NEUROLOGISTA,540,2
RIO GRANDE DO NORTE,MOSSORÓ,GINECOLOGISTA,350,2
RIO GRANDE DO NORTE,MOSSORÓ,NUTROLOGO,480,5
RORAIMA,BOA VISTA,CARDIO PED,550,
RORAIMA,BOA VISTA,CARDIO,440,9
RORAIMA,BOA VISTA,OFTALMO,300,17
RORAIMA,BOA VISTA,PEDIATRA,400,13
RORAIMA,BOA VISTA,PSIQUIATRA,600,14
RORAIMA,BOA VISTA,PSIQUIATRA PED,600,1
RORAIMA,BOA VISTA,NEURO,575,3
RORAIMA,BOA VISTA,NEURO PED,690,
RORAIMA,BOA VISTA,OTORRINO,410,4
RORAIMA,BOA VISTA,GASTRO,440,19
RORAIMA,BOA VISTA,ENDOCRINO,470,6
RORAIMA,BOA VISTA,DERMATO,520,26
RORAIMA,BOA VISTA,GINECOLOGISTA,500,18
RORAIMA,BOA VISTA,COLOPROCTOLOGISTA,620,2
RORAIMA,BOA VISTA,Ortopedista,430,
RORAIMA,BOA VISTA,USG de Mamas,380,
PERNAMBUCO,RECIFE,Psiquiatra,650,
PERNAMBUCO,RECIFE,Nutrólogo,650,
PERNAMBUCO,CARUARU,DERMATOLOGIA,350,1
PERNAMBUCO,CARUARU,ENDOCRINOLOGIA,350,
PERNAMBUCO,CARUARU,GERIATRIA,400,
PERNAMBUCO,CARUARU,NEUROPEDIATRA,585,2
PERNAMBUCO,CARUARU,PNEUMOLOGISTA,370,
PERNAMBUCO,CARUARU,PEDIATRA,320,
PERNAMBUCO,CARPINA,DERMATOLOGIA,350,
PERNAMBUCO,CARPINA,ENDOCRINOLOGIA,350,
PERNAMBUCO,CARPINA,GERIATRIA,400,
PERNAMBUCO,CARPINA,NEUROPEDIATRA,500,1
PERNAMBUCO,CARPINA,PNEUMOLOGISTA,370,
PERNAMBUCO,GARANHUNS,DERMATOLOGIA,350,
PERNAMBUCO,GARANHUNS,ENDOCRINOLOGIA,350,
PERNAMBUCO,GARANHUNS,GERIATRIA,450,
PERNAMBUCO,GARANHUNS,NEUROPEDIATRA,500,
PERNAMBUCO,GARANHUNS,PNEUMOLOGISTA,400,
PERNAMBUCO,PETROLINA,DERMATOLOGIA,420,
PERNAMBUCO,PETROLINA,ENDOCRINOLOGIA,420,
PERNAMBUCO,PETROLINA,GERIATRIA,400,
PERNAMBUCO,PETROLINA,NEUROPEDIATRA,600,4
PERNAMBUCO,PETROLINA,PNEUMOLOGISTA,400,
PERNAMBUCO,GRAVATÁ,DERMATOLOGIA,350,
PERNAMBUCO,GRAVATÁ,ENDOCRINOLOGIA,350,
PERNAMBUCO,GRAVATÁ,GERIATRIA,400,
PERNAMBUCO,GRAVATÁ,NEUROPEDIATRA,500,
PERNAMBUCO,GRAVATÁ,PNEUMOLOGISTA,430,
PERNAMBUCO,ESCADA,DERMATOLOGIA,350,
PERNAMBUCO,ESCADA,ENDOCRINOLOGIA,350,
PERNAMBUCO,ESCADA,GERIATRIA,400,
PERNAMBUCO,ESCADA,NEUROPEDIATRA,500,
PERNAMBUCO,ARCOVERDE,DERMATOLOGIA,480,1
PERNAMBUCO,ARCOVERDE,ENDOCRINOLOGIA,480,
PERNAMBUCO,ARCOVERDE,GERIATRIA,480,
PERNAMBUCO,ARCOVERDE,NEUROPEDIATRA,550,
PERNAMBUCO,ARCOVERDE,PNEUMOLOGISTA,480,
PERNAMBUCO,SERRA TALHADA,DERMATOLOGIA,480,3
PERNAMBUCO,SERRA TALHADA,ENDOCRINOLOGIA,480,
PERNAMBUCO,SERRA TALHADA,GERIATRIA,480,
PERNAMBUCO,SERRA TALHADA,NEUROPEDIATRA,550,
PERNAMBUCO,SERRA TALHADA,PNEUMOLOGISTA,480,
PIAUÍ,TERESINA,Psiquiatra,650,
PIAUÍ,TERESINA,Neurologista ADULTO,550,
PIAUÍ,TERESINA,Neurologista Pediátrico,650,
PIAUÍ,TERESINA,Endocrinologista Pediatra,650,
PIAUÍ,PARNAÍBA,Gastroenterologia,580,
PIAUÍ,PARNAÍBA,Psiquiatra,490,
PIAUÍ,PARNAÍBA,Endocrinologista,540,
PARAÍBA,JOÃO PESSOA,Psiquiatra,480,
PARAÍBA,SOUSA,Neurologista Pediátrico,600,
MARANHÃO,IMPERATRIZ,Endocrinologista,450,
MARANHÃO,IMPERATRIZ,Psiquiatra,720,
MARANHÃO,IMPERATRIZ,Neurologista Pediátrico,600,
MARANHÃO,SANTA INÊS,Pediatra,480,
MARANHÃO,SANTA INÊS,Neuropeditra,680,
MATO GROSSO,SINOP,Gastroenterologia Ped,650,
MATO GROSSO,ARIPUANÃ,Pediatria,550,
PARÁ,MARABÁ,Neurologista Pediátrico,950,
PARÁ,MARABÁ,Oftalmologista,390,
PARÁ,MARABÁ,Neurologista Adulto,630,
PARÁ,MARABÁ,Pediatra,650,
PARÁ,TUCUMÃ,PSICOLOGIA,,3
PARÁ,TUCUMÃ,PSICOPEDAGOGIA,,2
PARÁ,TUCUMÃ,PSICOMOTRICIDADE,,1
PARÁ,TUCUMÃ,FONOTERAPIA,,3
PARÁ,TUCUMÃ,TERAPIA OCUPACIOAL,,3
