Estado,Cidade,Especialidade,Valor,Agendamentos
Paraíba,POMBAL,CARDIOLOGISTA,475,
Paraíba,POMBAL,DERMATOLOGISTA,398,
Paraíba,POMBAL,ENDOCRINOLOGIA,440,
Paraíba,POMBAL,GASTROENTEROLOGIA,402,
Paraíba,POMBAL,GASTROENTEROLOGIA PEDIATRICA,546,
Paraíba,POMBAL,GERIATRIA,470,
Paraíba,POMBAL,GINECOLOGIA,395,
Paraíba,POMBAL,NEUROLOGIA,503,
Paraíba,POMBAL,PEDIATRIA,395,
Paraíba,POMBAL,PNEUMOLOGIA,640,
Paraíba,POMBAL,REUMATOLOGIA,502,
Paraíba,PATOS,ENDOCRINOLOGIA PEDIATRICA,590,
Paraíba,PATOS,GASTROENTEROLOGIA,340,
Paraíba,PATOS,GERIATRIA,491,
Paraíba,PATOS,NEUROLOGIA,440,
Paraíba,PATOS,NEUROLOGIA PEDIATRICA,640,
Paraíba,PATOS,PEDIATRIA,435,
Paraíba,PATOS,PNEUMOLOGIA,493,
Paraíba,PATOS,PNEUMOLOGIA PEDIATRICA,495,
Paraíba,PATOS,PSIQUIATRIA,541,
Paraíba,PATOS,REUMATOLOGIA,440,
Paraíba,CAJAZEIRAS,CIRURGIA VASCULAR,395,
Paraíba,CAJAZEIRAS,DERMATOLOGIA,435,
Paraíba,CAJAZEIRAS,ENDOCRINOLOGIA,440,
Paraíba,CAJAZEIRAS,GERIATRIA,640,
Paraíba,CAJAZEIRAS,NEUROLOGIA,490,
Paraíba,CAJAZEIRAS,NEUROLOGIA PEDIATRICA,645,
Paraíba,CAJAZEIRAS,NUTROLOGIA (MÉDICO),495,
Paraíba,CAJAZEIRAS,OTORRINOLARINGOLOGIA,392,
Paraíba,CAJAZEIRAS,PEDIATRIA,341,
Paraíba,CAJAZEIRAS,PNEUMOLOGIA,493,
Paraíba,CAJAZEIRAS,PSIQUIATRIA,493,
Paraíba,CAJAZEIRAS,UROLOGIA,391,
Paraíba,SOUSA,CARDIOLOGIA,370,
Paraíba,SOUSA,DERMATOLOGIA,410,
Paraíba,SOUSA,ENDOCRINOLOGIA,441,
Paraíba,SOUSA,ENDOCRINOLOGIA PEDIATRICA,512,
Paraíba,SOUSA,GASTROENTEROLOGIA,370,
Paraíba,SOUSA,GASTROENTEROLOGIA PEDIATRICA,490,
Paraíba,SOUSA,GERIATRIA,402,
Paraíba,SOUSA,GINECOLOGIA E OBSTETRÍCIA,341,
Paraíba,SOUSA,NEUROLOGIA,490,
Paraíba,SOUSA,NEUROLOGIA PEDIATRICA,842,
Paraíba,SOUSA,PEDIATRIA,342,
Paraíba,SOUSA,PNEUMOLOGIA,440,
Paraíba,SOUSA,PNEUMOLOGIA PEDIATRICA,540,
Paraíba,SOUSA,PSIQUIATRIA,591,
Paraíba,SOUSA,REUMATOLOGIA,440,
Paraíba,CAMPINA GRANDE,ENDOCRINOLOGIA PEDIATRICA,549,
Paraíba,CAMPINA GRANDE,GASTROENTEROLOGIA PEDIATRICA,579,
Paraíba,CAMPINA GRANDE,GERIATRIA,349,
Paraíba,CAMPINA GRANDE,NEUROLOGIA PEDIATRICA,549,
Paraíba,CAMPINA GRANDE,NUTROLOGIA (MÉDICO),649,
Paraíba,CAMPINA GRANDE,PNEUMOLOGIA PEDIATRICA,592,
